Siemens said at least two of four gas-turbine sets it delivered for a project in Russia had been moved to Crimea against its will, and it would take criminal action against responsible individuals at its customer, Technopromexport....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-ukraine-crisis-crimea-power-turbine.html	Business Day	2017-07-10T14:03:37+0000
Grain futures were higher Friday on the Chicago Board of Trade....	https://www.nytimes.com/aponline/2017/07/10/business/ap-financial-markets-board-of-trade.html	Business Day	2017-07-10T14:01:05+0000
Someone has it wrong. Either sentiment about the euro zone's economic future is too rosy, or projections of economic growth are too pessimistic....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-eurozone-economy-expectations.html	Business Day	2017-07-10T13:51:28+0000
The Stuttgart prosecutor's office said on Monday employees at German sports car maker Porsche AG and a U.S.-based subsidiary were being investigated for suspected fraud and false advertising related to diesel emissions....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-volkswagen-emissions-porsche.html	Business Day	2017-07-10T13:48:33+0000
"German Finance Minister Wolfgang Schaeuble said on Monday that Italy had ""done very well"" in handling problems with troubled banks and said its actions were a good basis for further improvements...."	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-eurozone-banks-italy-schaeuble.html	Business Day	2017-07-10T13:48:30+0000
The retailer said it would instead focus on executing its business plan as a stand-alone company....	https://www.nytimes.com/2017/07/10/business/dealbook/abercrombie-fitch-ends-talks-to-sell-itself.html	Business Day	2017-07-10T13:39:37+0000
The head of euro zone finance ministers said on Monday that Italy's winding-down in June of two banks from the Veneto region had raised the question of whether European Union rules on state aid should be changed....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-eurozone-banks-italy.html	Business Day	2017-07-10T13:39:30+0000
Stada backed a revised takeover bid on Monday from buyout groups Bain Capital and Cinven, which have secured backing from investors controlling around 20 percent of the German generic drugmaker's shares....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-stada-arzneimitt-m-a-takeover.html	Business Day	2017-07-10T13:36:40+0000
British workers at BMW's Mini and Rolls-Royce operations have overwhelmingly accepted a new offer from the German carmaker on Monday over the closure of its final salary pension scheme, ending a disagreement which had led to strikes....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-bmw.html	Business Day	2017-07-10T13:33:33+0000
Australia wants a free trade deal with Britain as soon as possible after the country has left the European Union, Prime Minister Malcolm Turnbull said on Monday....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-eu-australia.html	Business Day	2017-07-10T13:30:27+0000
Pakistan says it could become one of the world's top-five buyers of liquefied natural gas (LNG), with Petroleum Minister Shahid Abbasi predicting imports could jump more than fivefold as private companies build new LNG terminals....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-pakistan-lng-exclusive.html	Business Day	2017-07-10T13:27:28+0000
The French government will push ahead with tax cuts promised by President Emmanuel Macron, sources said on Monday, rowing back on comments for the prime minister that some could wait....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-france-budget.html	Business Day	2017-07-10T13:15:32+0000
Elliott Management Corp, the largest creditor of the bankrupt parent of Oncor Electric Delivery Co, unveiled a plan on Monday to best Berkshire Hathaway Inc's deal for the Texas utility with a bid worth $18.5 billion, including debt....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-oncor-m-a-elliott.html	Business Day	2017-07-10T13:09:32+0000
Israel's foreign ministry has issued a statement denouncing U.S. billionaire George Soros, a move that appeared designed to align Israel more closely with Hungary ahead of a visit to Budapest next week by Prime Minister Benjamin Netanyahu....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-israel-hungary-soros.html	Business Day	2017-07-10T13:03:31+0000
Private equity firm Sycamore Partners came closest to acquiring Abercrombie &amp; Fitch Co, but could not meet the U.S. teen apparel retailer company's valuation expectations, people familiar with the matter said on Monday....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-abercrombie-m-a-sycamorepartners.html	Business Day	2017-07-10T12:57:33+0000
German financial software group GFT Technologies issued its second profit warning this year after Deutsche Bank and Barclays cut spending on its products by almost a quarter, sending its shares down sharply on Monday....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-gft-tech-results.html	Business Day	2017-07-10T12:57:30+0000
French Finance Minister Bruno Le Maire said on Monday France will respect European Union budget rules and will also push for economic reforms, starting with labour laws....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-france-economy-lemaire.html	Business Day	2017-07-10T12:54:28+0000
Dutch prosecutors said on Monday they will look into possible misuse of emissions software by Suzuki and Fiat Chrysler's Jeep....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-volkswagen-emissions-netherlands-prosecutor.html	Business Day	2017-07-10T12:48:29+0000
Abercrombie &amp; Fitch is no longer up for sale, a development that isn't sitting well with investors hoping for white knight to rescue the struggling teen retailer....	https://www.nytimes.com/aponline/2017/07/10/business/ap-us-abercrombie-fitch.html	Business Day	2017-07-10T12:45:46+0000
European steel association Eurofer raised its 2017 EU steel demand forecast on Monday but said isolationist measures such as a U.S. plan to levy steel tariffs on national security grounds could be disastrous for global trade flows....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-steel-eu-demand.html	Business Day	2017-07-10T12:39:32+0000
Shares of Abercrombie &amp; Fitch Co plunged 21 percent on Monday and dragged down other stocks in the battered retail sector as the U.S. teen apparel maker terminated talks over a potential sale....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-abercrombie-m-a.html	Business Day	2017-07-10T12:33:28+0000
Donald Trump Jr. has shared a new doctored video of his father attacking CNN....	https://www.nytimes.com/aponline/2017/07/10/business/ap-us-trump-jr-tweet.html	Business Day	2017-07-10T12:21:38+0000
Burberry investor Royal London Asset Management expressed continued concern about corporate governance at the British luxury brand and said it would vote against the company's pay report....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-burberry-agm.html	Business Day	2017-07-10T12:18:31+0000
Dutch prosecutors said on Monday they will investigate possible misuse of vehicle emissions software by Suzuki and Fiat Chrysler's Jeep....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-volkswagen-emissions-netherlands.html	Business Day	2017-07-10T12:12:32+0000
Activist investor Daniel Loeb is keeping up pressure on Nestle by sharing views with the company as part of a regular dialogue, a source familiar with the matter told Reuters....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-hedgefunds-thirdpoint.html	Business Day	2017-07-10T12:00:39+0000
The Kremlin said on Monday that power turbines being installed in Crimea had been made in Russia using Russian components....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-ukraine-crisis-crimea-power-kremlin.html	Business Day	2017-07-10T11:51:35+0000
Struggling Chinese conglomerate LeEco could see the market value of its listed unit fall around $2.5 billion should its shares resume trading, showed estimates from three mutual fund investors, as the unit extended a trading suspension....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-leeco-management-funds.html	Business Day	2017-07-10T11:33:29+0000
Toyota Motor Corp on Monday said it was committed to the ailing U.S. sedan market and that it expected a new model of its Camry, the top-selling passenger car in the United States for decades, to help boost the company's sales in the segment....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-toyota-strategy.html	Business Day	2017-07-10T11:27:32+0000
U.S. stocks edged higher on Monday, led by gains in technology stocks as investors were optimistic ahead of earnings....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-usa-stocks.html	Business Day	2017-07-10T11:24:31+0000
British financial firms need to respect the spirit, and not just the letter, of rules designed to prevent another financial crisis, one of the central bank's deputy governors said on Monday....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-boe-banks.html	Business Day	2017-07-10T11:18:34+0000
Germany said on Monday it is up to Siemens to ensure it respects EU sanctions covering Crimea, after the industrial group said it was investigating reports its turbines had been delivered there for use in Russian-built power plants....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-ukraine-crisis-crimea-power-germany.html	Business Day	2017-07-10T11:15:28+0000
Exiled Chinese tycoon Guo Wengui is suspected of obtaining confidential client data of aviation-to-financial services conglomerate HNA from air traffic control and airline staff, the official Xinhua news agency reported, citing Chinese police....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-china-corruption-tycoon.html	Business Day	2017-07-10T11:03:29+0000
Swiss bank UBS is weighing up whether to move banking jobs in London to Frankfurt, Madrid or Amsterdam to cope with Britain's planned departure from the European Union, Chief Executive Sergio Ermotti said in an interview with CNBC....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-eu-ubs-group-ag.html	Business Day	2017-07-10T11:00:30+0000
"Germany's Siemens said on Monday at least two of its gas turbines had been moved ""against its will"" from Russia to Crimea, a region subject to sanctions barring EU firms providing it with energy technology...."	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-ukraine-crisis-crimea-power.html	Business Day	2017-07-10T10:51:29+0000
"A British government-commissioned report is to recommend that those working in the so-called ""gig economy"" for firms like taxi app Uber, receive rights such as sick pay and holiday entitlement, the BBC reported on Monday...."	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-economy-gigeconomy.html	Business Day	2017-07-10T10:45:31+0000
Ireland will seek to raise 750 million euros in a dual bond auction on Thursday, the National Treasury Management Agency said....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-ireland-bonds.html	Business Day	2017-07-10T10:27:27+0000
Allianz plans to cut 300 German jobs from its information technology division, using staff buyouts, a spokesman for the company told Reuters on Monday....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-allianz-buyouts-it.html	Business Day	2017-07-10T10:21:28+0000
German exchange operator Deutsche Boerse Group has made a $10 million investment in Trumid, a New York-based financial technology startup that runs an electronic corporate bond trading platform, the companies announced on Monday....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-deutsche-boerse-investment-trumid.html	Business Day	2017-07-10T10:12:40+0000
UBS has raised $325 million (252.71 million  for a private equity impact investment fund, as the world's biggest private bank looks to meet wealthy clients' growing appetite to combine philanthropy with money making....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-ubs-group-ag-philanthropy-wealth.html	Business Day	2017-07-10T10:12:30+0000
The Justice Department’s review of the merger is in its eighth month, but unknowns still exist, including whether the White House will try to stymie it....	https://www.nytimes.com/2017/07/10/business/dealbook/morning-agenda-att-time-warner-justice-department-trump.html	Business Day	2017-07-10T10:01:28+0000
Qatar has $340 billion (264.27 billion pounds) in reserves that could help the Gulf country to weather the isolation by its powerful Arab neighbours, central bank governor Sheikh Abdullah Bin Saoud al-Thani said....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-gulf-qatar-cenbank.html	Business Day	2017-07-10T10:00:31+0000
Abu Dhabi National Oil Company (ADNOC) is looking to float some of its services businesses and enter tie-ups with global investors to help it create new revenue streams and secure more market access....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-emirates-oil-adnoc.html	Business Day	2017-07-10T09:21:27+0000
Britain's top share index held firm on Monday as a rise among financials and commodities stocks lent support, though a plunge in Carillion's shares after a profit warning weighed on mid-caps....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-stocks.html	Business Day	2017-07-10T09:03:31+0000
TalkTalk Telecom Chief Financial Officer Iain Torrens will step down this year, continuing the reshaping of the British company's top team under founder and Executive Chairman Charles Dunstone....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-talktalk-moves.html	Business Day	2017-07-10T07:57:27+0000
Apple Inc said on Monday it will spend 6 billion Danish crowns (715 million pounds) on a new data centre in Denmark, its second in the Nordic country to run entirely on renewable energy....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-apple-denmark.html	Business Day	2017-07-10T07:51:29+0000
The chances of Britain's economy picking up steam diminished further on Monday as surveys showed major companies have curtailed their investment plans and that consumers spent less on their credit cards....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-economy.html	Business Day	2017-07-10T07:45:27+0000
Royal Dutch Shell will be spending up to $1 billion a year by 2020 on projects within its new energies division, Chief Executive Ben van Beurden told an industry conference on Monday....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-shell-renewables.html	Business Day	2017-07-10T07:33:29+0000
The world might be heading for an oil supply shortage following a steep drop in investments and a lack of fresh conventional discoveries, Saudi Aramco's chief executive said on Monday....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-aramco-oil.html	Business Day	2017-07-10T07:27:32+0000
Total is well placed to take a lead role in helping Qatar expand output from the world's largest gas field, largely thanks to its involvement in the Iranian side of the shared deposit, two sources familiar with Doha's thinking said....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-qatar-gas-total.html	Business Day	2017-07-10T07:12:37+0000
Oculus, the virtual reality company owned by Facebook Inc, is temporarily cutting the price of its hardware, as the industry tries to figure out why the technology for immersive games and stories has not taken off among consumers....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-facebook-oculus.html	Business Day	2017-07-10T07:03:32+0000
Swiss drugmaker Roche's bid to take a chunk of the $11 billion haemophilia drug market dominated by Shire took another blow with the Irish company winning a preliminary injunction over its Swiss rival's medication....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-roche-shire-haemophilia.html	Business Day	2017-07-10T06:54:29+0000
The chief executive of Britain's Carillion quit on Monday as the building and support services group warned on full-year profit and said it was pulling out of three construction markets in the Middle East....	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-carillion-outlook.html	Business Day	2017-07-10T06:42:29+0000
